Date,Prev Close,Open,High,Low,Close,VWAP,Volume
2021-02-05,40.5,41.3,42.75,39.7,40.15,41.4,329090924
2021-02-08,40.15,40.95,41.2,37.75,38.0,38.81,208191094
2021-02-09,38.0,38.25,41.05,37.35,39.05,39.64,376625747
2021-02-10,39.05,38.8,39.95,38.65,39.45,39.33,213081321
2021-02-11,39.45,39.45,40.1,38.6,38.75,39.23,151510830
2021-02-12,38.75,39.0,39.65,38.4,38.8,38.97,158520381
2021-02-15,38.8,39.25,40.05,39.0,39.55,39.43,127928424
2021-02-16,39.55,40.0,40.65,39.1,39.5,39.81,187520683
2021-02-17,39.5,39.5,42.5,39.3,41.7,41.58,466579666
2021-02-18,41.7,42.0,44.3,41.8,43.8,43.38,365119300
2021-02-19,43.8,44.25,46.35,41.2,42.05,43.98,429882183
2021-02-22,42.05,42.55,42.85,40.2,41.05,41.51,207909169
2021-02-23,41.05,41.3,42.2,40.65,41.0,41.49,217940163
2021-02-24,41.0,41.45,42.1,41.25,41.8,41.68,76642692
2021-02-25,41.8,42.25,42.65,41.75,41.9,42.2,133293103
2021-02-26,41.9,41.0,41.7,40.35,40.85,41.02,191695436
2021-03-01,40.85,41.4,41.45,40.55,40.8,41.0,120923262
2021-03-02,40.8,41.15,41.65,40.7,41.0,41.08,115358594
2021-03-03,41.0,41.4,43.9,41.25,43.55,42.87,238140740
2021-03-04,43.55,43.0,44.3,42.45,43.6,43.72,215065585
2021-03-05,43.6,43.6,43.6,41.3,41.7,42.18,129772294
2021-03-08,41.7,42.2,42.85,41.6,41.75,42.16,89990535
2021-03-09,41.75,41.95,42.35,40.75,41.6,41.51,77359752
